Gene stable ID,Gene name,Chromosome/scaffold name
ENSG00000242590,,1
ENSG00000291156,,1
ENSG00000273443,,1
ENSG00000217801,,1
ENSG00000237330,RNF223,1
ENSG00000131591,C1orf159,1
ENSG00000285812,,1
ENSG00000223823,LINC01342,1
ENSG00000207730,MIR200B,1
ENSG00000207607,MIR200A,1
ENSG00000198976,MIR429,1
ENSG00000272141,,1
ENSG00000205231,TTLL10-AS1,1
ENSG00000162571,TTLL10,1
ENSG00000186891,TNFRSF18,1
ENSG00000186827,TNFRSF4,1
ENSG00000078808,SDF4,1
ENSG00000176022,B3GALT6,1
ENSG00000184163,C1QTNF12,1
ENSG00000260179,,1
ENSG00000160087,UBE2J2,1
ENSG00000230415,LINC01786,1
ENSG00000162572,SCNN1D,1
ENSG00000131584,ACAP3,1
ENSG00000278073,MIR6726,1
ENSG00000169972,PUSL1,1
ENSG00000127054,INTS11,1
ENSG00000283712,MIR6727,1
ENSG00000240731,,1
ENSG00000224051,CPTP,1
ENSG00000169962,TAS1R3,1
ENSG00000107404,DVL1,1
ENSG00000284372,MIR6808,1
ENSG00000162576,MXRA8,1
ENSG00000175756,AURKAIP1,1
ENSG00000223663,NDUFB4P8,1
ENSG00000221978,CCNL2,1
ENSG00000224870,MRPL20-AS1,1
ENSG00000242485,MRPL20,1
ENSG00000264293,RN7SL657P,1
ENSG00000272455,MRPL20-DT,1
ENSG00000235098,ANKRD65,1
ENSG00000225905,ANKRD65-AS1,1
ENSG00000205116,TMEM88B,1
ENSG00000225285,LINC01770,1
ENSG00000179403,VWA1,1
ENSG00000215915,ATAD3C,1
ENSG00000160072,ATAD3B,1
ENSG00000290916,,1
ENSG00000284740,,1
ENSG00000197785,ATAD3A,1
ENSG00000205090,TMEM240,1
ENSG00000160075,SSU72,1
ENSG00000215014,,1
ENSG00000274481,,1
ENSG00000228594,FNDC10,1
ENSG00000286989,,1
ENSG00000272106,,1
ENSG00000197530,MIB2,1
ENSG00000189409,MMP23B,1
ENSG00000248333,CDK11B,1
ENSG00000272004,,1
ENSG00000189339,SLC35E2B,1
ENSG00000293187,,1
ENSG00000269737,,1
ENSG00000215914,MMP23A,1
ENSG00000008128,CDK11A,1
ENSG00000268575,,1
ENSG00000293188,,1
ENSG00000290854,,1
ENSG00000215790,SLC35E2A,1
ENSG00000227775,,1
ENSG00000008130,NADK,1
ENSG00000078369,GNB1,1
ENSG00000231050,GNB1-DT,1
ENSG00000169885,CALML6,1
ENSG00000178821,TMEM52,1
ENSG00000142609,CFAP74,1
ENSG00000233542,,1
ENSG00000187730,GABRD,1
ENSG00000226969,PRKCZ-DT,1
ENSG00000067606,PRKCZ,1
ENSG00000271806,,1
ENSG00000182873,PRKCZ-AS1,1
ENSG00000162585,FAAP20,1
ENSG00000234396,,1
ENSG00000157933,SKI,1
ENSG00000287356,,1
ENSG00000116151,MORN1,1
ENSG00000272161,,1
ENSG00000292993,,1
ENSG00000269896,,1
ENSG00000272420,,1
ENSG00000157916,RER1,1
ENSG00000157911,PEX10,1
ENSG00000149527,PLCH2,1
ENSG00000224387,,1
ENSG00000229393,,1
ENSG00000157881,PANK4,1
ENSG00000197921,HES5,1
ENSG00000272449,,1
ENSG00000238164,TNFRSF14-AS1,1
ENSG00000157873,TNFRSF14,1
ENSG00000225931,,1
ENSG00000228037,,1
ENSG00000289610,,1
ENSG00000157870,PRXL2B,1
ENSG00000142606,MMEL1,1
ENSG00000237058,MMEL1-AS1,1
ENSG00000215912,TTC34,1
ENSG00000285945,,1
ENSG00000283259,,1
ENSG00000233234,,1
ENSG00000287396,,1
ENSG00000231630,,1
ENSG00000284745,,1
ENSG00000169717,ACTRT2,1
ENSG00000177133,PRDM16-DT,1
ENSG00000142611,PRDM16,1
ENSG00000283572,MIR4251,1
ENSG00000226286,,1
ENSG00000279839,,1
ENSG00000272235,,1
ENSG00000287828,,1
ENSG00000286518,,1
ENSG00000130762,ARHGEF16,1
ENSG00000272088,,1
ENSG00000162591,MEGF6,1
ENSG00000207776,MIR551A,1
ENSG00000238260,,1
ENSG00000158109,TPRG1L,1
ENSG00000116213,WRAP73,1
ENSG00000078900,TP73,1
ENSG00000227589,TP73-AS3,1
ENSG00000235131,TP73-AS2,1
ENSG00000293478,GFOD3P,1
ENSG00000276189,,1
ENSG00000227372,GFOD3P,1
ENSG00000162592,CCDC27,1
ENSG00000235169,SMIM1,1
ENSG00000130764,LRRC47,1
ENSG00000266075,RN7SL574P,1
ENSG00000272153,,1
ENSG00000116198,CEP104,1
ENSG00000169598,DFFB,1
ENSG00000198912,C1orf174,1
ENSG00000236423,LINC01134,1
ENSG00000233304,LINC01346,1
ENSG00000226374,LINC01345,1
ENSG00000284668,LINC02780,1
ENSG00000284703,,1
ENSG00000229280,EEF1DP6,1
ENSG00000235054,LINC01777,1
ENSG00000284694,,1
ENSG00000227169,,1
ENSG00000232596,LINC01646,1
ENSG00000196581,AJAP1,1
ENSG00000287586,,1
ENSG00000284739,,1
ENSG00000284674,LINC02781,1
ENSG00000231510,LINC02782,1
ENSG00000284616,,1
ENSG00000284692,,1
ENSG00000284666,,1
ENSG00000260972,,1
ENSG00000283356,,1
ENSG00000236948,,1
ENSG00000264341,,1
ENSG00000289893,,1
ENSG00000264101,MIR4689,1
ENSG00000131697,NPHP4,1
ENSG00000069424,KCNAB2,1
ENSG00000116254,CHD5,1
ENSG00000285629,,1
ENSG00000116251,RPL22,1
ENSG00000226944,RNF207-AS1,1
ENSG00000158286,RNF207,1
ENSG00000116237,ICMT,1
ENSG00000225077,ICMT-DT,1
ENSG00000173673,HES3,1
ENSG00000158292,GPR153,1
ENSG00000097021,ACOT7,1
ENSG00000271746,,1
ENSG00000069812,HES2,1
ENSG00000187017,ESPN,1
ENSG00000265392,MIR4252,1
ENSG00000231868,,1
ENSG00000215788,TNFRSF25,1
ENSG00000171680,PLEKHG5,1
ENSG00000162408,NOL9,1
ENSG00000253022,RNU6-731P,1
ENSG00000229519,,1
ENSG00000173662,TAS1R1,1
ENSG00000204859,ZBTB48,1
ENSG00000162413,KLHL21,1
ENSG00000116273,PHF13,1
ENSG00000041988,THAP3,1
ENSG00000007923,DNAJC11,1
ENSG00000228750,LINC01672,1
ENSG00000284744,,1
ENSG00000237436,CAMTA1-DT,1
ENSG00000171735,CAMTA1,1
ENSG00000227950,,1
ENSG00000237365,CAMTA1-AS3,1
ENSG00000207056,RNU1-8P,1
ENSG00000237402,CAMTA1-IT1,1
ENSG00000237728,CAMTA1-AS2,1
ENSG00000225126,CAMTA1-AS1,1
ENSG00000270171,,1
ENSG00000270035,,1
ENSG00000269978,,1
ENSG00000049245,VAMP3,1
ENSG00000269925,,1
ENSG00000049246,PER3,1
ENSG00000236266,,1
ENSG00000049247,UTS2,1
ENSG00000049249,TNFRSF9,1
ENSG00000270330,,1
ENSG00000116288,PARK7,1
ENSG00000200344,Y_RNA,1
ENSG00000284747,,1
ENSG00000284716,,1
ENSG00000116285,ERRFI1,1
ENSG00000238290,ERRFI1-DT,1
ENSG00000232848,RPL7AP18,1
ENSG00000229305,,1
ENSG00000288816,,1
ENSG00000227634,LINC01714,1
ENSG00000200975,RNU1-7P,1
ENSG00000233645,,1
ENSG00000251977,RNU6-991P,1
ENSG00000162426,SLC45A1,1
ENSG00000252254,Y_RNA,1
ENSG00000142599,RERE,1
ENSG00000232912,RERE-AS1,1
ENSG00000221083,,1
ENSG00000270282,,1
ENSG00000234619,RPL7P11,1
ENSG00000224315,RPL7P7,1
ENSG00000222511,Y_RNA,1
ENSG00000226545,,1
ENSG00000228423,,1
ENSG00000229716,RPL23AP19,1
ENSG00000074800,ENO1,1
ENSG00000274258,MIR6728,1
ENSG00000230679,ENO1-AS1,1
ENSG00000201725,RNU6-304P,1
ENSG00000238249,HMGN2P17,1
ENSG00000232208,,1
ENSG00000232663,,1
ENSG00000131686,CA6,1
ENSG00000290109,,1
ENSG00000265141,RN7SL451P,1
ENSG00000197241,SLC2A7,1
ENSG00000142583,SLC2A5,1
ENSG00000252404,,1
ENSG00000180758,GPR157,1
ENSG00000228526,MIR34AHG,1
ENSG00000284357,MIR34A,1
ENSG00000289914,,1
ENSG00000234546,LNCTAM34A,1
ENSG00000049239,H6PD,1
ENSG00000171621,SPSB1,1
ENSG00000284652,,1
ENSG00000284693,LINC02606,1
ENSG00000252956,RNA5SP40,1
ENSG00000235263,,1
ENSG00000171612,SLC25A33,1
ENSG00000231181,,1
ENSG00000188807,TMEM201,1
ENSG00000171608,PIK3CD,1
ENSG00000179840,PIK3CD-AS1,1
ENSG00000233268,,1
ENSG00000231789,PIK3CD-AS2,1
ENSG00000171603,CLSTN1,1
ENSG00000271264,MZT1P1,1
ENSG00000280113,,1
ENSG00000178585,CTNNBIP1,1
ENSG00000223989,,1
ENSG00000285701,,1
ENSG00000162441,LZIC,1
ENSG00000228150,,1
ENSG00000173614,NMNAT1,1
ENSG00000202415,RN7SKP269,1
ENSG00000283611,TMEM274P,1
ENSG00000265521,MIR5697,1
ENSG00000241326,,1
ENSG00000162444,RBP7,1
ENSG00000130939,UBE4B,1
ENSG00000224340,RPL21P21,1
ENSG00000233623,PGAM1P11,1
ENSG00000201746,RNU6-828P,1
ENSG00000054523,KIF1B,1
ENSG00000264881,,1
ENSG00000199562,RNU6-37P,1
ENSG00000264501,RN7SL731P,1
ENSG00000284735,,1
ENSG00000284642,,1
ENSG00000142657,PGD,1
ENSG00000271989,,1
ENSG00000251503,CENPS-CORT,1
ENSG00000175279,CENPS,1
ENSG00000241563,CORT,1
ENSG00000160049,DFFA,1
ENSG00000203469,,1
ENSG00000142655,PEX14,1
ENSG00000287727,,1
ENSG00000243267,RN7SL614P,1
ENSG00000130940,CASZ1,1
ENSG00000272078,,1
ENSG00000225158,HSPE1P24,1
ENSG00000175262,C1orf127,1
ENSG00000215785,CFL1P6,1
ENSG00000120948,TARDBP,1
ENSG00000009724,MASP2,1
ENSG00000116649,SRM,1
ENSG00000230337,EXOSC10-AS1,1
ENSG00000171824,EXOSC10,1
ENSG00000198793,MTOR,1
ENSG00000225602,MTOR-AS1,1
ENSG00000253086,RNU6-537P,1
ENSG00000171819,ANGPTL7,1
ENSG00000207451,RNU6-291P,1
ENSG00000238173,RPL39P6,1
ENSG00000120942,UBIAD1,1
ENSG00000238199,UBE2V2P3,1
ENSG00000284646,,1
ENSG00000224338,MTCYBP45,1
ENSG00000204624,DISP3,1
ENSG00000285833,,1
ENSG00000235643,LINC01647,1
ENSG00000284708,,1
ENSG00000116661,FBXO2,1
ENSG00000132879,FBXO44,1
ENSG00000116670,MAD2L2,1
ENSG00000116663,FBXO6,1
ENSG00000162490,DRAXIN,1
ENSG00000177674,AGTRAP,1
ENSG00000215910,C1orf167,1
ENSG00000177553,C1orf167-AS1,1
ENSG00000177000,MTHFR,1
ENSG00000011021,CLCN6,1
ENSG00000276470,,1
ENSG00000278852,,1
ENSG00000175206,NPPA,1
ENSG00000275915,,1
ENSG00000120937,NPPB,1
ENSG00000224904,SBF1P2,1
ENSG00000285646,,1
ENSG00000199347,RNU5E-1,1
ENSG00000201801,RNU5E-4P,1
ENSG00000116685,KIAA2013,1
ENSG00000083444,PLOD1,1
ENSG00000287384,,1
ENSG00000116688,MFN2,1
ENSG00000270914,,1
ENSG00000116691,MIIP,1
ENSG00000202461,Y_RNA,1
ENSG00000276869,MIR6729,1
ENSG00000243539,RN7SL649P,1
ENSG00000120949,TNFRSF8,1
ENSG00000201135,RNU6-777P,1
ENSG00000227875,RPL23AP89,1
ENSG00000285604,,1
ENSG00000283789,MIR7846,1
ENSG00000028137,TNFRSF1B,1
ENSG00000263676,MIR4632,1
ENSG00000225196,RPL10P17,1
ENSG00000252969,SNORA70,1
ENSG00000048707,VPS13D,1
ENSG00000239149,SNORA59A,1
ENSG00000229484,LINC02766,1
ENSG00000162496,DHRS3,1
ENSG00000221340,RNU6ATAC18P,1
ENSG00000276830,MIR6730,1
ENSG00000288927,,1
ENSG00000204518,AADACL4,1
ENSG00000226166,,1
ENSG00000188984,AADACL3,1
ENSG00000157330,CFAP107,1
ENSG00000116726,PRAMEF12,1
ENSG00000116721,PRAMEF1,1
ENSG00000228338,LINC01784,1
ENSG00000239810,PRAMEF11,1
ENSG00000231103,PRAMEF30P,1
ENSG00000179172,HNRNPCL1,1
ENSG00000120952,PRAMEF2,1
ENSG00000243073,PRAMEF4,1
ENSG00000187545,PRAMEF10,1
ENSG00000204510,PRAMEF7,1
ENSG00000207434,RNU6-1072P,1
ENSG00000234064,PRAMEF29P,1
ENSG00000232423,PRAMEF6,1
ENSG00000274178,PRAMEF28P,1
ENSG00000274764,PRAMEF27,1
ENSG00000277058,HNRNPCL3,1
ENSG00000229571,PRAMEF25,1
ENSG00000277862,PRAMEF34P,1
ENSG00000236179,PRAMEF35P,1
ENSG00000275774,HNRNPCL2,1
ENSG00000229978,PRAMEF36P,1
ENSG00000290772,,1
ENSG00000233336,,1
ENSG00000280267,PRAMEF26,1
ENSG00000179412,HNRNPCL4,1
ENSG00000204505,PRAMEF9,1
ENSG00000279169,PRAMEF13,1
ENSG00000279804,PRAMEF18,1
ENSG00000250894,PRAMEF31P,1
ENSG00000270601,PRAMEF5,1
ENSG00000231219,PRAMEF32P,1
ENSG00000207511,RNU6-771P,1
ENSG00000182330,PRAMEF8,1
ENSG00000237700,PRAMEF33,1
ENSG00000204501,PRAMEF15,1
ENSG00000228229,,1
ENSG00000204481,PRAMEF14,1
ENSG00000204480,PRAMEF19,1
ENSG00000204479,PRAMEF17,1
ENSG00000204478,PRAMEF20,1
ENSG00000162494,LRRC38,1
ENSG00000259961,,1
ENSG00000215909,BRWD1P1,1
ENSG00000162493,PDPN,1
ENSG00000222952,RNA5SP41,1
ENSG00000237445,,1
ENSG00000253085,,1
ENSG00000116731,PRDM2,1
ENSG00000289380,,1
ENSG00000189337,KAZN,1
ENSG00000252151,RNU6-1265P,1
ENSG00000231606,,1
ENSG00000234593,KAZN-AS1,1
ENSG00000235829,TBCAP2,1
ENSG00000287756,,1
ENSG00000175147,TMEM51-AS1,1
ENSG00000171729,TMEM51,1
ENSG00000204464,TMEM51-AS2,1
ENSG00000215720,MFFP1,1
ENSG00000278480,ZBTB2P1,1
ENSG00000142621,FHAD1,1
ENSG00000233485,FHAD1-AS1,1
ENSG00000236045,,1
ENSG00000228140,EFHD2-AS1,1
ENSG00000142634,EFHD2,1
ENSG00000162438,CTRC,1
ENSG00000142615,CELA2A,1
ENSG00000215704,CELA2B,1
ENSG00000132906,CASP9,1
ENSG00000116138,DNAJC16,1
ENSG00000251866,SCARNA21B,1
ENSG00000272510,,1
ENSG00000116771,AGMAT,1
ENSG00000237301,,1
ENSG00000235084,CHCHD2P6,1
ENSG00000252417,RNU7-179P,1
ENSG00000236500,CD24P1,1
ENSG00000197312,DDI2,1
ENSG00000215695,RSC1A1,1
ENSG00000271742,,1
ENSG00000116786,PLEKHM2,1
ENSG00000237938,,1
ENSG00000162461,SLC25A34,1
ENSG00000224459,SLC25A34-AS1,1
ENSG00000162460,TMEM82,1
ENSG00000162458,FBLIM1,1
ENSG00000224321,RPL12P14,1
ENSG00000233954,UQCRHL,1
ENSG00000178715,,1
ENSG00000179743,SPEN-AS1,1
ENSG00000065526,SPEN,1
ENSG00000270620,,1
ENSG00000116809,ZBTB17,1
ENSG00000234607,,1
ENSG00000231353,,1
ENSG00000275503,,1
ENSG00000224966,TBC1D3P6,1
ENSG00000183888,SRARP,1
ENSG00000233078,,1
ENSG00000173641,HSPB7,1
ENSG00000186510,CLCNKA,1
ENSG00000232456,FAM131C2P,1
ENSG00000184908,CLCNKB,1
ENSG00000185519,FAM131C,1
ENSG00000142627,EPHA2,1
ENSG00000227959,EPHA2-AS1,1
ENSG00000224621,,1
ENSG00000234166,ARHGEF19-AS1,1
ENSG00000142632,ARHGEF19,1
ENSG00000291077,,1
ENSG00000237276,ANO7L1,1
ENSG00000288398,,1
ENSG00000132881,CPLANE2,1
ENSG00000233929,MT1XP1,1
ENSG00000037637,FBXO42,1
ENSG00000055070,SZRD1,1
ENSG00000226457,RPL22P3,1
ENSG00000187144,SPATA21,1
ENSG00000157191,NECAP2,1
ENSG00000290842,CROCCP3,1
ENSG00000226029,LINC01772,1
ENSG00000080947,CROCCP3,1
ENSG00000206652,RNU1-1,1
ENSG00000261135,,1
ENSG00000285853,,1
ENSG00000224174,,1
ENSG00000233421,LINC01783,1
ENSG00000277344,RNU1-6P,1
ENSG00000225710,PDE4DIPP8,1
ENSG00000219481,NBPF1,1
ENSG00000271732,,1
ENSG00000291072,,1
ENSG00000215908,CROCCP2,1
ENSG00000283773,,1
ENSG00000186301,MST1P2,1
ENSG00000282143,,1
ENSG00000207513,RNU1-3,1
ENSG00000280114,,1
ENSG00000236698,EIF1AXP1,1
ENSG00000290849,,1
ENSG00000268869,ESPNP,1
ENSG00000279151,,1
ENSG00000293526,,1
ENSG00000282740,,1
ENSG00000058453,CROCC,1
ENSG00000290850,,1
ENSG00000207389,RNU1-4,1
ENSG00000227684,CROCCP4,1
ENSG00000290851,,1
ENSG00000186715,MST1L,1
ENSG00000223643,,1
ENSG00000230239,PDE4DIPP9,1
ENSG00000263811,MIR3675,1
ENSG00000228549,,1
ENSG00000277234,RNU1-5P,1
ENSG00000238142,,1
ENSG00000235241,,1
ENSG00000207005,RNU1-2,1
ENSG00000272426,,1
ENSG00000290122,,1
ENSG00000117122,MFAP2,1
ENSG00000286898,,1
ENSG00000226526,,1
ENSG00000159363,ATP13A2,1
ENSG00000288636,,1
ENSG00000117118,SDHB,1
ENSG00000117115,PADI2,1
ENSG00000204362,LINC02783,1
ENSG00000282843,,1
ENSG00000142623,PADI1,1
ENSG00000142619,PADI3,1
ENSG00000266634,MIR3972,1
ENSG00000159339,PADI4,1
ENSG00000276747,PADI6,1
ENSG00000227751,RCC2-AS1,1
ENSG00000179051,RCC2,1
ENSG00000290096,,1
ENSG00000074964,ARHGEF10L,1
ENSG00000236648,LINC02810,1
ENSG00000117148,ACTL8,1
ENSG00000284653,,1
ENSG00000261781,LINC01654,1
ENSG00000117154,IGSF21,1
ENSG00000280222,,1
ENSG00000230035,IGSF21-AS1,1
ENSG00000225387,,1
ENSG00000179023,KLHDC7A,1
ENSG00000235282,DYNLL1P3,1
ENSG00000225478,,1
ENSG00000009709,PAX7,1
ENSG00000179002,TAS1R2,1
ENSG00000159423,ALDH4A1,1
ENSG00000265606,MIR4695,1
ENSG00000221662,MIR1290,1
ENSG00000169991,IFFO2,1
ENSG00000272084,,1
ENSG00000127481,UBR4,1
ENSG00000230424,EMC1-AS1,1
ENSG00000127463,EMC1,1
ENSG00000053372,MRTO4,1
ENSG00000286064,,1
ENSG00000211454,AKR7L,1
ENSG00000162482,AKR7A3,1
ENSG00000270728,,1
ENSG00000053371,AKR7A2,1
ENSG00000200403,RNU6-1099P,1
ENSG00000040487,SLC66A1,1
ENSG00000077549,CAPZB,1
ENSG00000240490,RN7SL277P,1
ENSG00000173436,MICOS10,1
ENSG00000201609,RNU4-28P,1
ENSG00000235185,MICOS10-DT,1
ENSG00000158747,NBL1,1
ENSG00000270136,MICOS10-NBL1,1
ENSG00000226396,,1
ENSG00000158748,HTR6,1
ENSG00000162542,TMCO4,1
ENSG00000178828,RNF186,1
ENSG00000235434,RNF186-AS1,1
ENSG00000169914,OTUD3,1
ENSG00000188784,PLA2G2E,1
ENSG00000242688,RN7SL304P,1
ENSG00000188257,PLA2G2A,1
ENSG00000127472,PLA2G5,1
ENSG00000117215,PLA2G2D,1
ENSG00000158786,PLA2G2F,1
ENSG00000227066,,1
ENSG00000187980,PLA2G2C,1
ENSG00000162543,UBXN10,1
ENSG00000228105,LINC01757,1
ENSG00000284710,,1
ENSG00000158816,VWA5B1,1
ENSG00000226664,,1
ENSG00000236963,LINC01141,1
ENSG00000226487,,1
ENSG00000284641,,1
ENSG00000284743,,1
ENSG00000162545,CAMK2N1,1
ENSG00000289402,,1
ENSG00000090432,MUL1,1
ENSG00000215520,RPS4XP4,1
ENSG00000183114,FAM43B,1
ENSG00000158825,CDA,1
ENSG00000158828,PINK1,1
ENSG00000284005,MIR6084,1
ENSG00000117242,PINK1-AS,1
ENSG00000244038,DDOST,1
ENSG00000117245,KIF17,1
ENSG00000235432,,1
ENSG00000189410,SH2D5,1
ENSG00000233069,,1
ENSG00000127483,HP1BP3,1
ENSG00000075151,EIF4G3,1
ENSG00000251914,RNU7-200P,1
ENSG00000221808,MIR1256,1
ENSG00000233072,RPS15AP6,1
ENSG00000236073,,1
ENSG00000235112,HSPE1P27,1
ENSG00000287192,,1
ENSG00000117298,ECE1,1
ENSG00000236936,,1
ENSG00000231105,ECE1-AS1,1
ENSG00000236216,PPP1R11P1,1
ENSG00000228823,PDE4DIPP10,1
ENSG00000236009,,1
ENSG00000227001,NBPF2P,1
ENSG00000187952,HS6ST1P1,1
ENSG00000186543,CROCCP5,1
ENSG00000142794,NBPF3,1
ENSG00000176378,PFN1P10,1
ENSG00000162551,ALPL,1
ENSG00000289715,,1
ENSG00000233431,LINC02596,1
ENSG00000076864,RAP1GAP,1
ENSG00000090686,USP48,1
ENSG00000231978,,1
ENSG00000187942,LDLRAD2,1
ENSG00000142798,HSPG2,1
ENSG00000232037,RPL21P29,1
ENSG00000293453,,1
ENSG00000283234,,1
ENSG00000219073,CELA3B,1
ENSG00000285959,,1
ENSG00000273610,RN7SL386P,1
ENSG00000201919,RNU6-1022P,1
ENSG00000142789,CELA3A,1
ENSG00000278124,RN7SL186P,1
ENSG00000201273,RNU6-776P,1
ENSG00000228397,LINC01635,1
ENSG00000218510,LINC00339,1
ENSG00000289694,,1
ENSG00000285752,CDC42-AS1,1
ENSG00000285794,,1
ENSG00000070831,CDC42,1
ENSG00000230068,CDC42-IT1,1
ENSG00000271428,MPHOSPH6P1,1
ENSG00000162552,WNT4,1
ENSG00000285873,,1
ENSG00000266564,MIR4418,1
ENSG00000234397,PPIAP34,1
ENSG00000279625,,1
ENSG00000184677,ZBTB40,1
ENSG00000237200,ZBTB40-IT1,1
ENSG00000070886,EPHA8,1
ENSG00000276835,MIR6127,1
ENSG00000173372,C1QA,1
ENSG00000289692,,1
ENSG00000159189,C1QC,1
ENSG00000173369,C1QB,1
ENSG00000133216,EPHB2,1
ENSG00000265422,MIR4684,1
ENSG00000225952,,1
ENSG00000264014,MIR4253,1
ENSG00000215906,LACTBL1,1
ENSG00000227868,TEX46,1
ENSG00000004487,KDM1A,1
ENSG00000240553,,1
ENSG00000263793,MIR3115,1
ENSG00000266802,,1
ENSG00000169641,LUZP1,1
ENSG00000293565,,1
ENSG00000229010,,1
ENSG00000206935,RNU6-514P,1
ENSG00000252578,RNU6-135P,1
ENSG00000289014,,1
ENSG00000179546,HTR1D,1
ENSG00000215381,RPL29P6,1
ENSG00000261326,LINC01355,1
ENSG00000284726,,1
ENSG00000125944,HNRNPR,1
ENSG00000125945,ZNF436,1
ENSG00000249087,ZNF436-AS1,1
ENSG00000201405,Y_RNA,1
ENSG00000271420,,1
ENSG00000204219,TCEA3,1
ENSG00000232482,,1
ENSG00000088280,ASAP3,1
ENSG00000007968,E2F2,1
ENSG00000235052,,1
ENSG00000117318,ID3,1
ENSG00000285802,,1
ENSG00000197880,MDS2,1
ENSG00000229239,EEF1A1P48,1
ENSG00000142676,RPL11,1
ENSG00000236810,ELOA-AS1,1
ENSG00000011007,ELOA,1
ENSG00000057757,PITHD1,1
ENSG00000289835,,1
ENSG00000011009,LYPLA2,1
ENSG00000117308,GALE,1
ENSG00000117305,HMGCL,1
ENSG00000179163,FUCA1,1
ENSG00000188822,CNR2,1
ENSG00000229106,BTBD6P1,1
ENSG00000232557,,1
ENSG00000264926,MIR378F,1
ENSG00000230228,H3P1,1
ENSG00000189266,PNRC2,1
ENSG00000188529,SRSF10,1
ENSG00000215905,RPL36P5,1
ENSG00000225315,,1
ENSG00000142661,MYOM3,1
ENSG00000230703,MYOM3-AS1,1
ENSG00000142677,IL22RA1,1
ENSG00000185436,IFNLR1,1
ENSG00000158055,GRHL3,1
ENSG00000230023,LINC02800,1
ENSG00000232298,GRHL3-AS1,1
ENSG00000001460,STPG1,1
ENSG00000001461,NIPAL3,1
ENSG00000288982,,1
ENSG00000286061,NCMAP-DT,1
ENSG00000117602,RCAN3,1
ENSG00000184454,NCMAP,1
ENSG00000227312,,1
ENSG00000239106,Y_RNA,1
ENSG00000133226,SRRM1,1
ENSG00000284699,,1
ENSG00000169504,CLIC4,1
ENSG00000238482,RNU6-1208P,1
ENSG00000020633,RUNX3,1
ENSG00000278034,MIR6731,1
ENSG00000229162,RUNX3-AS1,1
ENSG00000261025,,1
ENSG00000264371,MIR4425,1
ENSG00000285823,LINC02793,1
ENSG00000233755,,1
ENSG00000233419,IFITM3P7,1
ENSG00000231953,,1
ENSG00000117614,SYF2,1
ENSG00000284602,,1
ENSG00000284657,,1
ENSG00000117616,RSRP1,1
ENSG00000272432,,1
ENSG00000261349,,1
ENSG00000187010,RHD,1
ENSG00000224183,SDHDP6,1
ENSG00000259984,,1
ENSG00000183726,TMEM50A,1
ENSG00000188672,RHCE,1
ENSG00000238084,,1
ENSG00000204178,MACO1,1
ENSG00000157978,LDLRAP1,1
ENSG00000225643,,1
ENSG00000117643,MAN1C1,1
ENSG00000233478,,1
ENSG00000162430,SELENON,1
ENSG00000255054,,1
